Index,Time,voltage,velocity
26620,53.241268,12021,-1.59873319
26621,53.243273,-14882,-1.58062315
26622,53.245298,-17094,-1.59340668
26623,53.247277,13074,-1.52096653
26624,53.249268,11556,-1.44319987
26625,53.251270,5335,-1.43467748
26626,53.253275,-17679,-1.48581183
26627,53.255291,-3252,-1.5571866
26628,53.257269,9212,-1.60938621
26629,53.259271,-13950,-1.65732455
26630,53.261273,-578,-1.71698117
26631,53.263277,11410,-1.66797745
26632,53.265279,4504,-1.57210076
26633,53.267291,15849,-1.43787336
26634,53.269271,-6680,-1.30045009
26635,53.271273,-9819,-1.15237379
26636,53.273277,7923,-1.05649698
26637,53.275279,601,-1.01601577
26638,53.277269,-1904,-1.00429749
26639,53.279293,-5785,-0.921204329
26640,53.281272,-13003,-0.847698867
26641,53.283276,34,-0.809348166
26642,53.285277,17029,-0.764605641
26643,53.287269,13304,-0.724124432
26644,53.289289,-10457,-0.714536786
26645,53.291295,10836,-0.767801583
26646,53.293276,17680,-0.839176476
26647,53.295268,-5153,-0.832784712
26648,53.297270,-16336,-0.779519856
26649,53.299272,-2089,-0.718797863
26650,53.301274,7960,-0.651684225
26651,53.303295,6133,-0.580309331
26652,53.305274,3551,-0.508934438
26653,53.307276,17686,-0.476975501
26654,53.309278,-4181,-0.505738556
26655,53.311270,-1576,-0.501477361
26656,53.313274,-526,-0.501477361
26657,53.315293,9607,-0.476975501
26658,53.317272,15915,-0.42264539
26659,53.319274,-12079,-0.340617508
26660,53.321276,8154,-0.233022511
26661,53.323269,-284,-0.144602865
26662,53.325293,-11804,-0.0753585771
26663,53.327273,-1545,0.0620647334
26664,53.329275,4631,0.194161549
26665,53.331277,-10942,0.301756561
26666,53.333269,-10335,0.376327336
26667,53.335271,-14346,0.411482126
26668,53.337293,7502,0.382719129
26669,53.339306,-1555,0.321997166
26670,53.341292,-15340,0.242099911
26671,53.343273,8384,0.247426406
26672,53.345275,567,0.261275262
26673,53.347277,-17677,0.277254701
26674,53.349296,-1769,0.272993505
26675,53.351275,2377,0.195226848
26676,53.353268,14273,0.0578035414
26677,53.355270,-1352,-0.144602865
26678,53.357272,14837,-0.442886025
26679,53.359289,-10929,-0.729450881
26680,53.361268,-4620,-0.946771443
26681,53.363272,3748,-1.0916518
26682,53.365274,-17705,-1.16835332
26683,53.367276,17559,-1.12361085
26684,53.369277,2758,-1.00003624
26685,53.371268,15563,-0.881788313
26686,53.373296,-3765,-0.851960063
26687,53.375275,16918,-0.833849967
26688,53.377277,-15068,-0.812544048
26689,53.379279,-10695,-0.7507568
26690,53.381269,-10516,-0.592027545
26691,53.383275,15080,-0.279895604
26692,53.385290,-11733,0.0897624493
26693,53.387270,16148,0.421069801
26694,53.389271,-16881,0.647978067
26695,53.391273,14489,0.783270776
26696,53.393290,8662,0.782205403
26697,53.395294,-2439,0.745985389
26698,53.397273,-5288,0.701242864
26699,53.399275,-17144,0.642651618
26700,53.401277,112,0.622410893
26701,53.403270,-15281,0.686328769
26702,53.405273,-9740,0.775813699
26703,53.407292,-14285,0.902584016
26704,53.409271,-411,1.01230955
26705,53.411273,-14976,1.07196617
26706,53.413277,-13030,1.05172563
26707,53.415269,12256,0.847188532
26708,53.417270,6487,0.510554731
26709,53.419289,13667,0.0599341355
26710,53.421268,-8380,-0.537697434
26711,53.423273,4192,-1.04158282
26712,53.425275,-5722,-1.38886964
26713,53.427277,6290,-1.58488429
26714,53.429278,12759,-1.60938621
26715,53.431290,-9280,-1.45172226
26716,53.433271,-12928,-1.25251174
26717,53.435273,16493,-1.10763133
26718,53.437274,-110,-1.04903996
26719,53.439276,6472,-1.01175463
26720,53.441377,-3178,-1.02347279
26721,53.443274,13583,-1.05436647
26722,53.445276,-3899,-1.06501937
26723,53.447540,-1260,-0.973403871
26724,53.449270,9495,-0.832784712
26725,53.451272,17813,-0.669794261
26726,53.453309,-1329,-0.449277788
26727,53.455296,-7483,-0.205324814
26728,53.457276,9212,0.0130610727
26729,53.459277,-9328,0.194161549
26730,53.461268,1947,0.361413151
26731,53.463273,6073,0.523338318
26732,53.465274,-2832,0.638390422
26733,53.467294,-13638,0.676741064
26734,53.469273,-3666,0.675675809
26735,53.471275,16,0.639455676
26736,53.473279,6833,0.652239263
26737,53.475269,269,0.652239263
26738,53.477304,11118,0.701242864
26739,53.479291,-10659,0.739593565
